angle1, angle2, angle3, angle4, angle5, label
173.37596737, 161.8341724,  148.42067932, 12.71172156, 133.23372951, one_finger
172.92773716, 171.97440593, 164.8230621,  2.95457982, 151.39581314, one_finger
172.35820213, 179.33490474, 175.49584829, 2.58409012, 102.8097327, one_finger
176.96781664, 171.86989765,  31.11631245, 12.16719819, 87.58850927, one_finger
178.06886779, 163.83550085, 118.08967395, 16.02758039, 174.45153371, one_finger
173.35718012, 165.12470497, 141.21720191, 14.25108098, 134.56667884, one_finger
169.49427888, 169.87809412, 157.45435234, 10.17812713, 118.3816591, one_finger
172.31601817, 173.78593553, 163.11003331, 7.37766821, 121.36512855, one_finger
168.54190592, 167.90524292, 147.99461679, 10.70969571, 124.80378838, one_finger
169.82596559, 171.92868381, 147.39414979, 11.53371522, 114.54713044, one_finger
169.46349684, 173.93997377, 160.08805254, 6.97611792, 121.99440069, one_finger
166.22580004, 174.27479277, 167.05668519, 4.69269675, 118.66395711, one_finger
173.08161359, 179.1334221, 154.02671517, 2.18461079, 146.88865804, one_finger
170.6325121, 178.37983966, 168.56631873, 2.12638106, 137.38594403, one_finger
166.84066427, 175.7636052, 161.19037439, 12.4830563, 76.82238869, one_finger
170.13026142, 151.3285088,  120.30324155, 10.43682808, 136.43699298, one_finger
168.62289783, 152.37865161, 123.38057274, 10.20822636, 145.21266763, one_finger
168.14947482, 146.81593907, 120.43833303, 12.79488318, 146.86638234, one_finger
168.38180834, 148.67130713, 119.38060786, 13.89033486, 143.29714497, one_finger
168.15489616, 145.23654237, 119.4274564, 10.88450291, 144.81478667, one_finger
166.72011645, 151.59547733, 116.96747321, 11.78195259, 134.55056978, one_finger
167.59800021, 150.230984, 125.41790344, 8.33697887, 131.49905999, one_finger
167.92586033, 157.16031913, 130.5376857, 8.74891921, 125.40968627, one_finger
175.88524951, 174.80557109, 173.92095034, 3.2512712, 150.55033958, one_finger
174.08124249, 172.50414236, 165.96375653, 5.00090054, 152.45170818, one_finger
169.13805711, 159.99041133, 143.66659866, 6.49999627, 101.70595528, one_finger
169.28687698, 155.66291172, 125.47015376, 9.77261756, 93.66039855, one_finger
170.65248006, 160.76593912, 126.72533333, 4.68726588, 102.70251848, one_finger
168.95724798, 154.38979008, 121.91365133, 21.4778542, 121.86443227, one_finger
168.32128761, 151.57030801, 123.9819649, 18.6047136, 112.21638021,one_finger
129.01886949, 93.72860983, 105.48759627, 17.02316536, 108.7709906, closed_palm
125.6179661, 91.99580947, 105.27823382, 16.20902493, 103.22269975, closed_palm
111.11762252, 83.02587335, 88.12422724, 23.28886266, 112.71704726, closed_palm
109.86022471, 85.78191787, 88.56598406, 25.26462294, 110.16628402, closed_palm
114.75371358, 89.9773624, 89.2856258, 25.56839681, 117.84608502, closed_palm
108.57866703, 84.74300556, 86.30185012, 25.56725749, 113.87119647, closed_palm
108.55135207, 85.78191787, 91.38697265, 23.47012349, 108.29949806, closed_palm
104.49610916, 83.83894811, 88.56598406, 23.64007323, 111.26552655, closed_palm
109.97124895, 83.51692631, 87.6969697, 23.37626964, 107.54858694, closed_palm
113.85456712, 86.19044697, 92.40084914, 23.09829793, 110.64407642, closed_palm
115.86362708, 90.10800323, 91.9121854, 24.39603861, 124.45480313, closed_palm
121.19157743, 87.73912893, 97.25875084, 21.08542164, 119.07641444, closed_palm
131.61520273, 100.05271765, 106.6551148, 15.60424235, 92.63108264, closed_palm
135.24896291, 103.64484129, 110.15720998, 15.85304599, 93.62867805, closed_palm
133.53806386, 104.8075722, 110.2813526, 16.0467961, 96.60875635, closed_palm
129.86798477, 101.33717255, 106.72823352, 16.98500635, 93.99781419, closed_palm
129.35850264, 102.40355879, 107.00879249, 16.29081843, 92.01832958, closed_palm
128.52098178, 100.10628137, 105.27041302, 16.57207977, 95.71822125, closed_palm
131.57841697, 102.08395593, 106.32734471, 16.9936325, 95.06163535, closed_palm
127.62154382, 99.31586836, 104.79804851, 17.13553647, 94.15824884, closed_palm
130.01054748, 102.72202821, 109.13840872, 17.05117949, 98.16343154, closed_palm
131.53831098, 102.99899566, 107.03402475, 18.11043938, 98.49097216, closed_palm
131.14988102, 104.83505279, 106.37220918, 18.39027376, 96.30732167, closed_palm
130.3674697, 103.66069942, 106.19602505, 18.25783724, 92.55958013, closed_palm
127.31411776, 99.3446719, 103.3428337, 18.25783724, 97.71435, closed_palm 
128.06063154, 102.05822326, 105.08513491, 18.14516445, 98.23840896, closed_palm
132.14479292, 106.19174048, 111.25018597, 16.26712487, 99.15052274, closed_palm
117.48617872, 86.97423644, 91.35513129, 21.7945987, 97.65244243, closed_palm
116.29479007, 88.28653468, 95.23305093, 19.50041273, 96.52653135, closed_palm
119.71888932, 98.5433291, 102.51887834, 17.6360285, 90.34991677, closed_palm
174.76887701, 176.04458003, 178.82886951, 4.71861952, 161.91387962, open_hand
174.05163651, 176.29352128, 177.8701468, 3.6588021, 169.32742894, open_hand
172.38078274, 178.13600234, 179.51030441, 2.00151338, 171.54883449, open_hand
173.086542, 178.67700701, 178.38494539, 1.72424212, 171.047961169, open_hand
175.70598533, 177.01571786, 178.19342022, 3.01751956, 172.96672799, open_hand
175.60949968, 171.76189442, 174.05575293, 2.31009146, 173.96694253, open_hand
174.63013471, 172.51004732, 176.9311969,  2.62345401, 170.08529491, open_hand
174.21420855, 175.88687213, 178.32943369, 2.83918155, 170.12894691, open_hand
173.34646123, 176.80976571, 178.18233776, 2.58694117, 168.25755058, open_hand
175.22175588, 175.35774749, 177.05209062, 2.1008171, 166.99235611, open_hand
174.67012033, 175.17314122, 177.2897969,  2.1008171, 165.43912681, open_hand
175.22175588, 172.90712714, 176.05481377, 2.58431431, 163.03033113, open_hand
173.9168385, 174.13641807, 177.52501967,  2.74079059, 166.01158271, open_hand
175.62402655, 175.18644911, 177.34137448, 2.74079059, 169.11447295, open_hand
174.25838329, 175.24646873, 175.44227217, 2.66141604, 168.18038539, open_hand
174.66032412, 175.38935068, 176.63102062, 2.17131179, 171.25383774, open_hand
173.48736861, 173.9009982, 178.8711652, 2.97723981, 167.86542308, open_hand
173.44904673, 174.16873354, 177.04350336, 2.81424066, 169.1549318, open_hand
173.48736861, 175.45466469, 177.10455937, 3.74002198, 171.86989765, open_hand
173.73951714, 175.5185355, 177.65210499, 2.42748802, 171.25383774, open_hand
179.06591245, 179.913254,  176.59335293, 3.91592383, 171.19320731, open_hand
177.8701468, 177.84298649, 167.72989296, 6.73436936, 164.76098919, open_hand
175.60129465, 174.39072555, 176.57009756, 2.27825742, 165.58203659, open_hand
177.35745471, 175.18644911, 176.5133681, 2.09919395, 163.82555309, open_hand
179.06201016, 175.42607874, 175.61976921, 1.71308486, 162.7772005, open_hand
177.48603762, 175.15259261, 176.64730477, 1.9556814, 163.98765864, open_hand
177.23156751, 174.28330052, 175.57230804, 1.61998148, 163.55882118, open_hand
177.07502205, 175.86227973, 176.79257667, 2.27490917, 163.71915808, open_hand
176.81758786, 175.18644911, 175.48828536, 2.20709111, 163.26881421, open_hand
176.81758786, 174.28330052, 177.56244297, 2.27026293, 163.95315584, open_hand


